#ID	Name	SMILES
Hlpr-670-0	Hlpr-670-0	CCCO
Hlpr-670-1	Hlpr-670-1	O=C(O)c1cc(O)c(O)c(O)c1
Hlpr-671-0	Hlpr-671-0	CNC(C)C(=O)O
Hlpr-672-0	Hlpr-672-0	O=C(O)C=Cc1ccc(O)cc1
Hlpr-672-1	Hlpr-672-1	O=c1[nH]c(=O)n(C2CC(O)C(CO)O2)cc1F
Hlpr-674-0	Hlpr-674-0	N#CC(O)c1cccc(Oc2ccccc2)c1
Hlpr-674-1	Hlpr-674-1	CCCCC(CC)COC(=O)c1ccccc1C(=O)O
Hlpr-675-0	Hlpr-675-0	CC(O)C(=O)O
Hlpr-676-0	Hlpr-676-0	CCN(CC)CCSP(C)(=O)O
Hlpr-677-1	Hlpr-677-1	COC(=O)C1C(O)CC2CCC1N2C
Hlpr-678-1	Hlpr-678-1	O=C(O)C1(O)CC(O)C(O)C(O)C1
Hlpr-1083-0	Hlpr-1083-0	CC(N)C(=O)NC(CO)C(=O)NC(Cc1ccccc1)C(=O)O
Hlpr-1083-1	Hlpr-1083-1	CC(N)C(=O)NC(C)C(=O)NC(Cc1ccccc1)C(=O)O
Hlpr-1084-1	Hlpr-1084-1	Cc1cc(=O)oc2cc(N)ccc12
Hlpr-1086-0	Hlpr-1086-0	CC(C)CC(NC(=O)C(C)N)C(=O)NC(CCC(=O)O)C(=O)O
Hlpr-1086-1	Hlpr-1086-1	CCC(C)C(NC(=O)C(C)NC(=O)C(CC(C)C)NC(=O)C(C)N)C(=O)O
Hlpr-1087-0	Hlpr-1087-0	Nc1ccc([N+](=O)O)cc1
Hlpr-1091-1	Hlpr-1091-1	CC(NC(=O)C(C)NC(=O)C(C)NC(=O)CCC(=O)O)C(=O)O
Hlpr-1093-0	Hlpr-1093-0	CC(NC(=O)CNC(=O)CN)C(=O)NC(CCCCN)C(=O)O
Hlpr-1093-1	Hlpr-1093-1	CC(NC(=O)C(NC(=O)CNC(=O)CN)C(C)O)C(=O)O
Hlpr-1095-0	Hlpr-1095-0	CC(C)C(NC(=O)C(CCCN=C(N)N)NC(=O)C(N)CC(=O)O)C(=O)O
Hlpr-1095-1	Hlpr-1095-1	CC(N)C(=O)NC(C)C(=O)NC(C)C(=O)O
Hlpr-1098-0	Hlpr-1098-0	CC(C)CC(NC(=O)C(CC(C)C)NC(=O)C(C)N)C(=O)O
Hlpr-1104-1	Hlpr-1104-1	NC(CO)C(=O)NC(Cc1ccccc1)C(=O)O
Hlpr-1105-0	Hlpr-1105-0	CC(N)C(=O)NC(C)C(=O)O
Hlpr-1107-0	Hlpr-1107-0	CSCCC(NC(=O)C(CC(C)C)NC(=O)CCC(=O)O)C(=O)O
Hlpr-1109-0	Hlpr-1109-0	CC(C)CC(NC(=O)C(C)N)C(=O)O
